ID,momheight,dadheight,Height,rstudent,hii,dffitsi,cooks
3,64,65,72,1.660476615,0.029005392,0.286987991,0.026799974
4,62,74,68,-1.55370931,0.045374828,-0.338735585,0.037510593
5,59,70,68,-0.376482586,0.050822541,-0.08711629,0.002560268
7,60,68,68.5,0.11073769,0.030778604,0.019733695,0.000131612
10,68,71,70,-0.825997038,0.047555811,-0.184569747,0.011405663
11,63,66,67,-0.419503067,0.019757971,-0.059557937,0.001196071
13,62,64,68,0.487827369,0.031682202,0.088239875,0.002623188
15,61,72,68,-1.012092395,0.037354391,-0.199369067,0.013244866
16,62,62,61,-1.93270427,0.050056836,-0.443657976,0.063209417
20,62,69,71,0.661984616,0.01653564,0.085837901,0.002475362
21,54,68,68,0.645669378,0.158157432,0.279859176,0.026320214
23,64,74,77,1.840058972,0.035025216,0.350561461,0.039650571
25,59,60,64,0.05986284,0.083805489,0.018105049,0.000110798
26,64,66,67,-0.534505512,0.022636541,-0.081344684,0.002227754
27,68,73,75,0.761630554,0.051370266,0.177235983,0.010532291
28,67,71,72,0.085974553,0.034763962,0.016316154,9.00E-05
29,66,68,68,-0.773937513,0.028171717,-0.131770376,0.005820228
30,62,70,72,0.856798237,0.018784618,0.118548911,0.004701979
35,60,64,66,-0.071335911,0.04009428,-0.014579248,7.18E-05
36,64,67,75,2.496774969,0.018027121,0.338292865,0.035562234
37,64,69,69,-0.34754904,0.014086569,-0.04154314,0.000582389
38,60,67,73,2.146534887,0.030468378,0.380523628,0.045963065
39,60,65,70,1.320325107,0.035126216,0.251919226,0.020938285
46,67,73,73,0.078738156,0.040158525,0.016105506,8.77E-05
48,60,64,70,1.533867708,0.04009428,0.313483599,0.032153221
49,64,68,70,0.24144885,0.01517713,0.029973738,0.000303444
50,63,65,69,0.565039037,0.025336767,0.091101759,0.002792916
51,66,72,76,1.598363148,0.028045621,0.271509511,0.024053071
62,60,67,69,0.508487489,0.030468378,0.090141328,0.002736668
65,65,66,68,-0.256663183,0.028980999,-0.044341093,0.000663992
70,65,68,69,-0.262885284,0.01994148,-0.037498937,0.000474863
71,67,72,73,0.279663408,0.036581529,0.054495305,0.001002751
72,60,65,66,-0.272060673,0.035126216,-0.051909423,0.000909898
76,60,67,67,-0.27885674,0.030468378,-0.049433894,0.000825139
77,61,65,68,0.400736877,0.028397179,0.068509773,0.001582985
79,64,72,71,-0.164030335,0.021371467,-0.024239988,0.000198542
81,64,68,73,1.431793644,0.01517713,0.17774451,0.010379662
83,62,74.75,70.5,-0.694147115,0.053494477,-0.165022978,0.009143329
84,63,70,70,-0.042698288,0.015037085,-0.005275727,9.41E-06
85,64,64,66,-0.531020606,0.037133672,-0.104282714,0.003661475
86,66,55,65,0.731859724,0.222998541,0.392073908,0.051573284
89,64,70,70,-0.156094884,0.014755439,-0.01910261,0.000123307
91,64,65,65,-1.130766389,0.029005392,-0.195435678,0.012682621
92,67,71,70,-0.70449533,0.034763962,-0.133698331,0.006000391
93,66,74,72,-0.402927558,0.038539153,-0.080670036,0.002194752
94,64,68,69,-0.148743514,0.01517713,-0.018465191,0.000115219
95,57,68,70,1.07908772,0.078871525,0.315759748,0.033159012
96,69.25,69,70,-0.571205572,0.073617926,-0.161023459,0.008724489
98,66,69,71,0.207043004,0.025501048,0.033492602,0.000378956
103,60,65,64,-1.068573124,0.035126216,-0.203884719,0.013829081
104,65,64,63,-1.88088065,0.045058239,-0.408563816,0.053747094
105,61,61,66,0.423046618,0.061986232,0.108750494,0.003987696
106,63,70,71,0.347640151,0.015037085,0.042953822,0.000622613
107,65,69,70,-0.070882966,0.018060865,-0.00961322,3.12E-05
111,67,74,72,-0.520107087,0.045494952,-0.11354951,0.004341821
120,64,71,69,-0.748594236,0.017183738,-0.098984942,0.00328607
122,60,78,70,-1.394154287,0.130649512,-0.540464638,0.096107708
127,61,63,65,-0.380709354,0.041672845,-0.079389529,0.002126149
131,61,66,57,-4.709851362,0.024398491,-0.744821926,0.142883098
132,62,72,69,-0.724404774,0.028560863,-0.124210745,0.00517694
134,64,72,76,1.834504987,0.021371467,0.27109851,0.023718899
135,62,69,69,-0.120740204,0.01653564,-0.015656082,8.28E-05
136,66,72,72.5,0.196159612,0.028045621,0.033321089,0.000375108
137,62,68,69,0.078118965,0.016046092,0.009975938,3.36E-05
138,71,76,77,0.623131823,0.117607733,0.227492469,0.01739876
139,63,77,75,0.533941494,0.074513588,0.151504799,0.007727968
145,67,73,72,-0.316602153,0.040158525,-0.064759425,0.001415618
151,66,70,71,0.007201632,0.024589809,0.001143444,4.42E-07
154,63,74,72,-0.058156268,0.038467078,-0.011632125,4.57E-05
155,63,68,68,-0.425651633,0.013878668,-0.050496702,0.00085975
156,64,67,69,0.050078704,0.018027121,0.00678526,1.56E-05
160,62,70,66,-1.516285901,0.018784618,-0.209797401,0.014411616
163,65,71,72,0.312826968,0.019577925,0.044205976,0.000659655
164,68,74,75,0.558617853,0.055916639,0.1359503,0.006220261
165,60,74,72,0.291062483,0.069587989,0.079600486,0.002139274
